O=C(Cl)CSc1ccccc1.[N-]=[N+]=NCCN>>[N-]=[N+]=NCCNC(=O)CSc1ccccc1 predicted: ['CCN(CC)CC'] gtruth: ['ClCCl'] 
CCOC(=O)C1CNCCc2c1[nH]c1ccccc21.CN.Cl>>CNC(=O)C1CNCCc2c1[nH]c1ccccc21 predicted: ['ClCCl'] gtruth: ['CN'] 
NCc1ccc(C(F)(F)F)cc1.COC(=O)c1ccccc1COc1cccc(CC(=O)O)c1>>COC(=O)c1ccccc1COc1cccc(CC(=O)NCc2ccc(C(F)(F)F)cc2)c1 predicted: ['CN(C)c1ccncc1'] gtruth: ['CN(C)c1ccncc1'] 
O=c1c2ccccc2c(=O)c2c1sc1c(=O)c3ccc(OCCCO)cc3c(=O)c12>>O=c1c2ccccc2c(=O)c2c1sc1c(=O)c3ccc(OCCCCl)cc3c(=O)c12 predicted: ['O=S(=O)(O)O'] gtruth: ['O=S(=O)(Cl)Cl'] 
CN1CCC(=C2c3ccccc3CCn3ccnc32)CC1>>CN1CCC(=C2c3ccccc3CCn3c(CO)cnc32)CC1 predicted: ['C=O'] gtruth: ['C=O'] 
CC(=O)CO.Nc1cccc2cccc(N)c12>>CC1(CO)Nc2cccc3cccc(c23)N1 predicted: ['Cc1ccc(S(=O)(=O)O)cc1'] gtruth: ['O=S(=O)(O)O'] 
Cl.COc1cc(N)ccc1OCCCN1CCN(c2ccccc2)CC1.CCCCCCCC(=O)Cl>>CCCCCCCC(=O)Nc1ccc(OCCCN2CCN(c3ccccc3)CC2)c(OC)c1 predicted: ['CCN(CC)CC'] gtruth: ['CCN(CC)CC'] 
C=C(C)c1ccc(C)cc1.CC(C)C(C)(C)O>>Cc1ccc2c(c1)C(C)(C)C(C)CC2(C)C predicted: ['O=S(=O)(O)O'] gtruth: ['O=S(=O)(O)O'] 
CC(=O)c1ccc2ccccc2c1O.COc1cc2nccc(Cl)c2cc1OC>>COc1cc2nccc(Oc3c(C(C)=O)ccc4ccccc34)c2cc1OC predicted: ['CN(C)c1ccncc1'] gtruth: ['CN(C)c1ccncc1'] 
NCCCCCC(=O)O.O=C(Cl)CCC(=O)Cl.CCN(CC)CC>>O=C(NC1CCCCC1)NC1CCCCC1 predicted: ['O=C1CCC(=O)N1O'] gtruth: ['C(=NC1CCCCC1)=NC1CCCCC1'] 
Nc1ncnc(Cl)c1N.CCOC(=O)C(OCC)(OCC)OCC>>COc1nc2c(Cl)ncnc2[nH]c1=O predicted: ['CCOCC'] gtruth: ['CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2'] 
CC1CCC2(C)C(O)CCC(C)C2C1.O=CO>>CC1CCC2(C)C(OC=O)CCC(C)C2C1 predicted: ['OO'] gtruth: ['CC(=O)OC(C)=O'] 
COC(=O)C1CCC(O)CC1(C)C.CS(=O)(=O)Cl>>COC(=O)C1CCC(OS(C)(=O)=O)CC1(C)C predicted: ['CCN(CC)CC'] gtruth: ['CCN(CC)CC'] 
COC(=O)C(CSc1ccccc1)N=[N+]=[N-].CC(=O)OC(C)=O>>COC(=O)[C@H](CSc1ccccc1)NC(C)=O predicted: ['CCN(CC)CC'] gtruth: ['[H][H]'] 
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].CCOC(C)=O>>O=[N+]([O-])c1cccc([N+](=O)[O-])c1CCO predicted: ['O=S(=O)(O)O'] gtruth: ['C=O'] 
CCOc1cccc(F)c1F.O=C1CCC(C2CCC3(CC2)OCCO3)CC1>>CCOc1ccc(C2(O)CCC(C3CCC4(CC3)OCCO4)CC2)c(F)c1F predicted: ['Cc1ccc(S(=O)(=O)O)cc1'] gtruth: ['Cl'] 
Cc1ccccc1Oc1ccc(N2C[C@@H](C)C[C@H]2CO)cc1>>Cc1ccccc1Oc1ccc(N2C[C@@H](C)C[C@H]2CC#N)cc1 predicted: ['c1ccc(P(c2ccccc2)c2ccccc2)cc1'] gtruth: ['c1ccc(P(c2ccccc2)c2ccccc2)cc1'] 
O=S(Cl)Cl.CCOC(=O)c1cn(CCO)c2cc(N3CCN(C(C)=O)CC3)c(F)cc2c1=O>>CCOC(=O)c1cn(CCCl)c2cc(N3CCN(C(C)=O)CC3)c(F)cc2c1=O predicted: ['c1ccncc1'] gtruth: ['c1ccncc1'] 
CN1CCN(c2c[nH]c(=O)[nH]c2=O)CC1>>CN1CCN(c2cnc(Cl)nc2Cl)CC1 predicted: ['O=P(Cl)(Cl)Cl'] gtruth: ['O=P(Cl)(Cl)Cl'] 
O=Cc1c[nH]c2ncccc12.CCOC(=O)C1=C(C2NCc3ccccc32)OCC1=O>>CCOC(=O)C1=C(C2NCc3ccccc32)OC(=Cc2c[nH]c3ncccc23)C1=O predicted: ['O=C(O)[C@@H]1CCCN1'] gtruth: ['O=C(O)[C@@H]1CCCN1'] 
CNc1cccc(C(F)(F)F)c1.Cc1cc(Cl)ccc1C1=NN(CC(=O)O)C(=O)CC1>>Cc1cc(Cl)ccc1C1=NN(CC(=O)N(C)c2cccc(C(F)(F)F)c2)C(=O)CC1 predicted: ['CNc1ccc(Cl)cc1'] gtruth: ['CNc1ccc(Cl)cc1'] 
O=Nc1cccc(F)c1.O>>O=Nc1ccc(N(O)c2cccc(F)c2)c(F)c1 predicted: ['CC(C)(C)OCl'] gtruth: ['CS(=O)(=O)O'] 
CC(C)(C)OC(=O)N1CCC(F)(c2ncc([C@H](O)CO)cc2Cl)CC1>>OC[C@@H](O)c1cnc(C2(F)CCNCC2)c(Cl)c1 predicted: ['Cl'] gtruth: ['Cl'] 
